,-1,-0.9,-0.8,-0.7,-0.6,-0.5,-0.4,-0.3,-0.2,-0.1,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
-1,7.709,6.62847,5.71389,4.94485,4.30336,3.77381,3.34301,3.00015,2.73684,2.54707,2.42725,2.37617,2.39504,2.48745,2.65941,2.91931,3.27796,3.74855,4.34669,5.09037,6
-0.9,8.6367,7.44717,6.42713,5.55617,4.81629,4.1919,3.66978,3.23916,2.89161,2.62115,2.42418,2.29948,2.24827,2.27415,2.3831,2.58354,2.88627,3.30448,3.85377,4.55214,5.42
-0.8,8.86637,7.6398,6.58256,5.67425,4.89688,4.23483,3.67492,3.20634,2.82069,2.51198,2.27659,2.11334,2.02342,2.01043,2.08037,2.24165,2.50505,2.88379,3.39346,4.05207,4.88
-0.7,7.93113,6.785,5.80202,4.96179,4.24632,3.64001,3.12965,2.70445,2.35601,2.07832,1.86778,1.7232,1.64578,1.63911,1.7092,1.86445,2.11565,2.476,2.96111,3.58898,4.38
-0.6,6.095,5.12104,4.29935,3.60954,3.0336,2.55594,2.16335,1.84504,1.5926,1.40004,1.26375,1.18254,1.1576,1.19254,1.29335,1.46844,1.7286,2.08704,2.55935,3.16354,3.92
-0.5,4.19271,3.40127,2.7507,2.22058,1.79294,1.45215,1.18503,0.980771,0.830977,0.729646,0.673178,0.660374,0.692434,0.772957,0.907944,1.10579,1.37731,1.73569,2.19653,2.77783,3.5
-0.4,3.12341,2.43718,1.88436,1.44456,1.09978,0.834418,0.635271,0.491541,0.394828,0.339132,0.320853,0.338791,0.394146,0.490518,0.633907,0.832713,1.09774,1.44218,1.88163,2.43411,3.12
-0.3,3.30521,2.6061,2.03902,1.58357,1.22174,0.937932,0.718954,0.554002,0.434677,0.354977,0.311303,0.302456,0.329634,0.396439,0.508869,0.675326,0.906609,1.21592,1.61885,2.13341,2.78
-0.2,4.4216,3.62239,2.9583,2.40891,1.95622,1.58465,1.28098,1.03443,0.836576,0.681434,0.5654,0.487274,0.448256,0.451946,0.504344,0.61385,0.791264,1.04979,1.40502,1.87495,2.48
-0.1,5.61341,4.71066,3.94626,3.29984,2.75338,2.2913,1.90037,1.56982,1.29123,1.05861,0.868353,0.719266,0.612546,0.551793,0.543007,0.594588,0.717337,0.924452,1.23153,1.65658,2.22
0,6,5.0761,4.2896,3.6201,3.0496,2.5625,2.1456,1.7881,1.4816,1.2201,1,0.8201,0.6816,0.5881,0.5456,0.5625,0.6496,0.8201,1.0896,1.4761,2
0.1,5.21341,4.38666,3.69026,3.10384,2.60938,2.1913,1.83637,1.53382,1.27523,1.05461,0.868353,0.715266,0.596546,0.515793,0.479007,0.494588,0.573337,0.728452,0.975534,1.33258,1.82
0.2,3.6216,2.97439,2.4463,2.01691,1.66822,1.38465,1.15298,0.962426,0.804576,0.673434,0.5654,0.479274,0.416256,0.379946,0.376344,0.41385,0.503264,0.657786,0.893016,1.22695,1.68
0.3,2.10521,1.6341,1.27102,0.995566,0.789736,0.637932,0.526954,0.446002,0.386677,0.342977,0.311303,0.290456,0.281634,0.288439,0.316869,0.375326,0.474609,0.627917,0.850852,1.16141,1.58
0.4,1.52341,1.14118,0.860362,0.660564,0.523783,0.434418,0.379271,0.347541,0.330828,0.323132,0.320853,0.322791,0.330146,0.346518,0.377907,0.432713,0.521736,0.658177,0.857634,1.13811,1.52
0.5,2.19271,1.78127,1.4707,1.24058,1.07294,0.952151,0.865029,0.800771,0.750977,0.709646,0.673178,0.640374,0.612434,0.592957,0.587944,0.605795,0.657309,0.755686,0.916527,1.15783,1.5
0.6,3.695,3.17704,2.76335,2.43354,2.1696,1.95594,1.77935,1.62904,1.4966,1.37604,1.26375,1.15854,1.0616,0.976537,0.90935,0.868437,0.8646,0.911037,1.02335,1.21954,1.52
0.7,5.13113,4.517,4.01002,3.58979,3.23832,2.94001,2.68165,2.45245,2.24401,2.05032,1.86778,1.6952,1.53378,1.38711,1.2612,1.16445,1.10765,1.104,1.16911,1.32098,1.58
0.8,5.66637,5.0478,4.53456,4.10625,3.74488,3.43483,3.16292,2.91834,2.69269,2.47998,2.27659,2.08134,1.89542,1.72243,1.56837,1.44165,1.35305,1.31579,1.34546,1.46007,1.68
0.9,5.0367,4.53117,4.12313,3.79217,3.52029,3.2919,3.09378,2.91516,2.74761,2.58515,2.42418,2.26348,2.10427,1.95015,1.8071,1.68354,1.59027,1.54048,1.54977,1.63614,1.82
1,3.709,3.38847,3.15389,2.98485,2.86336,2.77381,2.70301,2.64015,2.57684,2.50707,2.42725,2.33617,2.23504,2.12745,2.01941,1.91931,1.83796,1.78855,1.78669,1.85037,2
